,station_ID,Date,Time,Day,Month,Year,TC,TdC,Hr,ddd,ffkmh,Precmm,Prechrs,Nt,Nh,HKm,Viskm
315,63680,03/09/2021 06:00,06:00:00,3,9,2021,19.4,18.9,93,CAL,0,3.0/24h,24h,8,5,0.3,5
323,63680,02/09/2021 12:00,12:00:00,2,9,2021,26.2,18.9,60,S,11.1,0.0/6h,6h,7,5,0.6,10
333,63680,02/09/2021 09:00,09:00:00,2,9,2021,26,18.9,55,SSE,7.4,0.0/3h,3h,4,4,0.6,10
216,63680,31/08/2021 12:00,12:00:00,31,8,2021,27.8,18.9,54,NNW,7.4,0.0/6h,6h,4,4,0.6,9
316,63680,31/08/2021 09:00,09:00:00,31,8,2021,24.4,18.9,68,E,5.6,0.0/3h,3h,4,4,0.6,6
414,63680,31/08/2021 06:00,06:00:00,31,8,2021,21,18.9,87,CAL,0,0.0/24h,24h,7,4,0.3,5
510,63680,30/08/2021 09:00,09:00:00,30,8,2021,25.6,18.9,61,WNW,11.1,0.0/3h,3h,2,2,0.6,7
64,63680,30/08/2021 06:00,06:00:00,30,8,2021,20,18.9,89,NW,7.4,0.0/24h,24h,7,4,0.3,5
74,63680,23/08/2021 12:00,12:00:00,23,8,2021,26.5,18.9,57,S,7.4,0.0/6h,6h,3,3,0.6,10
84,63680,23/08/2021 09:00,09:00:00,23,8,2021,26,18.9,57,S,11.1,0.0/3h,3h,2,2,0.6,10
94,63680,23/08/2021 06:00,06:00:00,23,8,2021,20.5,18.9,83,CAL,0,0.7/24h,24h,2,2,0.3,5
104,63680,19/08/2021 12:00,12:00:00,19,8,2021,25,18.9,66,S,11.1,0.1/6h,6h,5,5,0.6,10
114,63680,19/08/2021 09:00,09:00:00,19,8,2021,26,18.9,63,CAL,0,0.0/3h,3h,4,4,0.6,7
124,63680,18/08/2021 12:00,12:00:00,18,8,2021,25.4,18.9,58,CAL,0,0.3/6h,6h,4,4,0.3,10
134,63680,18/08/2021 06:00,06:00:00,18,8,2021,21.2,18.9,86,CAL,0,0.0/24h,24h,7,4,0.3,5
144,63680,15/08/2021 12:00,12:00:00,15,8,2021,25.5,18.9,55,S,7.4,0.0/6h,6h,6,4,0.6,10
154,63680,15/08/2021 09:00,09:00:00,15,8,2021,20.6,18.9,86,CAL,0,1.0/3h,3h,7,4,0.3,7
164,63680,15/08/2021 06:00,06:00:00,15,8,2021,18,18.9,98,CAL,0,4.0/24h,24h,8,6,0.3,5
174,63680,11/08/2021 09:00,09:00:00,11,8,2021,25,18.9,60,W,7.4,0.0/3h,3h,4,4,0.6,9
184,63680,11/08/2021 06:00,06:00:00,11,8,2021,20.5,18.9,83,WNW,7.4,0.0/24h,24h,2,2,0.3,3
194,63680,09/08/2021 12:00,12:00:00,9,8,2021,26.5,18.9,61,E,5.6,0.0/6h,6h,6,6,0.6,10
204,63680,08/08/2021 12:00,12:00:00,8,8,2021,28.4,18.9,49,CAL,0,0.0/6h,6h,4,4,0.6,10
217,63680,08/08/2021 06:00,06:00:00,8,8,2021,20.5,18.9,82,NW,5.6,Tr/24h,24h,2,2,0.3,4
224,63680,07/08/2021 12:00,12:00:00,7,8,2021,26.2,18.9,57,SSE,7.4,Tr/6h,6h,4,4,0.6,9
234,63680,07/08/2021 09:00,09:00:00,7,8,2021,26,18.9,58,W,3.7,0.0/3h,3h,4,4,0.6,5
244,63680,07/08/2021 06:00,06:00:00,7,8,2021,21.2,18.9,74,CAL,0,Tr/24h,24h,2,2,0.3,3
254,63680,03/08/2021 12:00,12:00:00,3,8,2021,27,18.9,52,S,11.1,0.0/6h,6h,4,4,0.6,9
264,63680,03/08/2021 09:00,09:00:00,3,8,2021,25,18.9,55,CAL,0,0.0/3h,3h,2,2,0.6,7
218,63680,31/07/2021 06:00,06:00:00,31,7,2021,23,18.9,72,E,14.4,0.0/24h,24h,3,3,0.6,4
317,63680,30/07/2021 12:00,12:00:00,30,7,2021,25.8,18.9,56,SSE,9.3,0.0/6h,6h,2,2,0.6,10
415,63680,30/07/2021 09:00,09:00:00,30,7,2021,24.8,18.9,65,S,7.4,0.0/3h,3h,5,5,0.6,9
511,63680,29/07/2021 06:00,06:00:00,29,7,2021,21,18.9,74,WNW,5.6,0.0/24h,24h,3,3,0.3,3
65,63680,27/07/2021 08:00,08:00:00,27,7,2021,21,18.9,74,WNW,5.6,0.0/3h,3h,3,3,0.3,3
75,63680,26/07/2021 12:00,12:00:00,26,7,2021,24.5,18.9,55,SSE,14.8,0.0/6h,6h,4,4,0.6,10
85,63680,26/07/2021 06:00,06:00:00,26,7,2021,22.4,18.9,70,S,28.8,0.0/24h,24h,4,2,0.3,9
95,63680,25/07/2021 09:00,09:00:00,25,7,2021,25.2,18.9,59,S,14.8,0.0/3h,3h,3,3,0.6,10
105,63680,25/07/2021 06:00,06:00:00,25,7,2021,23,18.9,69,SSE,18,0.0/24h,24h,4,2,0.6,8
115,63680,24/07/2021 09:00,09:00:00,24,7,2021,25,18.9,52,ESE,14.8,0.0/3h,3h,4,4,0.6,10
125,63680,24/07/2021 06:00,06:00:00,24,7,2021,22,18.9,75,CAL,0,0.0/24h,24h,4,4,0.6,6
135,63680,23/07/2021 09:00,09:00:00,23,7,2021,26.2,18.9,52,SSE,7.4,0.0/3h,3h,3,3,0.6,10
145,63680,19/07/2021 12:00,12:00:00,19,7,2021,27,18.9,40,E,5.6,0.0/6h,6h,3,3,0.6,20
155,63680,19/07/2021 09:00,09:00:00,19,7,2021,26,18.9,44,S,11.1,0.0/3h,3h,4,3,0.6,20
